RowId,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,ClassID,TopicID,QuestionID,ResponseID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,Report
,2017,2017,MS,Mississippi,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,41.8,41.8,,,38.5,45.1,,Age Group,50-64 years,,,,,POINT (-89.53803082 32.7455101),C01,TOC11,Q43,,28,AGE,5064,OVERALL,OVERALL,,,
,2019,2019,MS,Mississippi,BRFSS,Screenings and Vaccines,Cholesterol checked in past 5 years,Percentage of older adults who had a cholesterol screening within the past 5 years,,%,PRCTG,Percentage,93.44888888888889,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-89.53803082 32.7455101),C03,TSC06,Q14,,28,AGE,65PLUS,RACE,NAA,,,
,2017,2017,MS,Mississippi,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,12.794444444444439,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-89.53803082 32.7455101),C05,TMC01,Q03,,28,AGE,65PLUS,RACE,ASN,,,
,2017,2017,MS,Mississippi,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,,%,PRCTG,Percentage,52.3,52.3,,,47.2,57.3,,Age Group,50-64 years,,,,,POINT (-89.53803082 32.7455101),C01,TOC13,Q45,,28,AGE,5064,OVERALL,OVERALL,,,
,2019,2019,MS,Mississippi,BRFSS,Overall Health,Severe joint pain among older adults with arthritis,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,,%,PRCTG,Percentage,44.04666666666667,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-89.53803082 32.7455101),C01,TOC12,Q44,,28,AGE,5064,RACE,ASN,,,
,2019,2019,MS,Mississippi,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,,%,PRCTG,Percentage,49.0,49.0,,,41.9,56.1,,Age Group,Overall,,,,,POINT (-89.53803082 32.7455101),C06,TCC03,Q41,,28,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
,2019,2019,MS,Mississippi,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,%,PRCTG,Percentage,18.606666666666666,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-89.53803082 32.7455101),C04,TAC01,Q17,,28,AGE,AGE_OVERALL,RACE,ASN,,,
,2019,2019,MS,Mississippi,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,5.1,5.1,,,3.5,7.4,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-89.53803082 32.7455101),C04,TAC03,Q21,,28,AGE,AGE_OVERALL,RACE,BLK,,,
,2019,2019,MS,Mississippi,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,,%,PRCTG,Percentage,47.615000000000016,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-89.53803082 32.7455101),C01,TOC13,Q45,,28,AGE,5064,RACE,HIS,,,
,2017,2017,MS,Mississippi,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,,%,PRCTG,Percentage,43.6,43.6,,,37.3,50.0,,Age Group,Overall,,,,,POINT (-89.53803082 32.7455101),C06,TCC04,Q42,,28,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
,2017,2017,MS,Mississippi,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",,%,PRCTG,Percentage,67.3,67.3,,,62.4,71.8,,Age Group,65 years or older,Gender,Male,,,POINT (-89.53803082 32.7455101),C03,TSC09,Q09,,28,AGE,65PLUS,GENDER,MALE,,,
,2017,2017,MS,Mississippi,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,,%,PRCTG,Percentage,47.61500000000002,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-89.53803082 32.7455101),C01,TOC13,Q45,,28,AGE,65PLUS,RACE,NAA,,,
,2020,2020,MS,Mississippi,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,,%,PRCTG,Percentage,33.3,33.3,,,26.3,41.1,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-89.53803082 32.7455101),C03,TSC10,Q10,,28,AGE,5064,RACE,BLK,,,
,2018,2018,MS,Mississippi,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,%,PRCTG,Percentage,34.5,34.5,,,30.3,38.9,,Age Group,50-64 years,Gender,Male,,,POINT (-89.53803082 32.7455101),C02,TNC03,Q16,,28,AGE,5064,GENDER,MALE,,,
,2020,2020,MS,Mississippi,BRFSS,Overall Health,Fall with injury within last year,Percentage of older adults who have fallen and sustained an injury within last year,,%,PRCTG,Percentage,11.962222222222222,,~,No Data Available,,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-89.53803082 32.7455101),C01,TOC06,Q05,,28,AGE,65PLUS,RACE,ASN,,,
,2019,2019,MS,Mississippi,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,%,PRCTG,Percentage,21.5,21.5,,,17.9,25.5,,Age Group,50-64 years,Gender,Female,,,POINT (-89.53803082 32.7455101),C04,TAC01,Q17,,28,AGE,5064,GENDER,FEMALE,,,
,2016,2016,MS,Mississippi,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,%,PRCTG,Percentage,18.1,18.1,,,15.9,20.7,,Age Group,Overall,Gender,Female,,,POINT (-89.53803082 32.7455101),C04,TAC01,Q17,,28,AGE,AGE_OVERALL,GENDER,FEMALE,,,
,2015,2015,MS,Mississippi,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,,%,PRCTG,Percentage,55.2,55.2,,,43.3,66.5,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-89.53803082 32.7455101),C06,TCC02,Q31,,28,AGE,AGE_OVERALL,RACE,BLK,,,
,2019,2019,MS,Mississippi,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,,%,PRCTG,Percentage,65.9,65.9,,,59.1,72.2,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-89.53803082 32.7455101),C03,TSC04,Q19,,28,AGE,5064,RACE,BLK,,,
,2017,2017,MS,Mississippi,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",,%,PRCTG,Percentage,44.2,44.2,,,40.7,47.8,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,POINT (-89.53803082 32.7455101),C01,TOC10,Q46,,28,AGE,65PLUS,RACE,WHT,,,
,2019,2019,MS,Mississippi,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",,%,PRCTG,Percentage,39.33666666666665,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-89.53803082 32.7455101),C02,TNC04,Q13,,28,AGE,AGE_OVERALL,RACE,ASN,,,
,2016,2016,MS,Mississippi,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,%,PRCTG,Percentage,18.60666666666667,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-89.53803082 32.7455101),C04,TAC01,Q17,,28,AGE,AGE_OVERALL,RACE,ASN,,,
,2015,2020,MS,Mississippi,BRFSS,Caregiving,Expect to provide care for someone in the next two years,Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years,,%,PRCTG,Percentage,18.3,18.3,,,16.0,20.7,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",,,POINT (-89.53803082 32.7455101),C07,TGC02,Q37,,28,AGE,AGE_OVERALL,RACE,WHT,,,
,2019,2019,MS,Mississippi,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,19.247777777777774,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-89.53803082 32.7455101),C05,TMC03,Q27,,28,AGE,AGE_OVERALL,RACE,NAA,,,
,2016,2016,MS,Mississippi,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",,%,PRCTG,Percentage,65.17333333333332,,~,No Data Available,,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,,,POINT (-89.53803082 32.7455101),C01,TOC08,Q33,,28,AGE,65PLUS,RACE,HIS,,,
,2015,2015,MS,Mississippi,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",,%,PRCTG,Percentage,39.33666666666665,,~,No Data Available,,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-89.53803082 32.7455101),C02,TNC04,Q13,,28,AGE,65PLUS,RACE,ASN,,,
,2015,2015,MS,Mississippi,BRFSS,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,,%,PRCTG,Percentage,95.1,95.1,,,93.3,96.5,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,POINT (-89.53803082 32.7455101),C01,TOC04,Q04,,28,AGE,65PLUS,RACE,WHT,,,
,2017,2017,MS,Mississippi,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,,%,PRCTG,Percentage,46.1,46.1,,,29.1,64.2,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-89.53803082 32.7455101),C06,TCC04,Q42,,28,AGE,5064,RACE,BLK,,,
,2015,2020,MS,Mississippi,BRFSS,Caregiving,Provide care for a friend or family member in past month,Percentage of older adults who provided care for a friend or family member within the past month,,%,PRCTG,Percentage,20.64666666666666,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Hispanic,,,POINT (-89.53803082 32.7455101),C07,TGC01,Q36,,28,AGE,AGE_OVERALL,RACE,HIS,,,
,2020,2020,MS,Mississippi,BRFSS,Overall Health,Self-rated health (fair to poor health),"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",,%,PRCTG,Percentage,34.82666666666667,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-89.53803082 32.7455101),C01,TOC07,Q32,,28,AGE,5064,RACE,ASN,,,
,2017,2017,MS,Mississippi,BRFSS,Screenings and Vaccines,High blood pressure ever,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,,%,PRCTG,Percentage,64.85111111111111,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-89.53803082 32.7455101),C03,TSC07,Q22,,28,AGE,AGE_OVERALL,RACE,ASN,,,
,2015,2015,MS,Mississippi,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,%,PRCTG,Percentage,40.50777777777777,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-89.53803082 32.7455101),C02,TNC03,Q16,,28,AGE,5064,RACE,NAA,,,
,2018,2018,MS,Mississippi,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,26.6,26.6,,,23.3,30.2,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-89.53803082 32.7455101),C05,TMC03,Q27,,28,AGE,5064,RACE,WHT,,,
,2020,2020,MS,Mississippi,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,,%,PRCTG,Percentage,48.8,48.8,,,44.7,52.9,,Age Group,65 years or older,,,,,POINT (-89.53803082 32.7455101),C03,TSC10,Q10,,28,AGE,65PLUS,OVERALL,OVERALL,,,
,2020,2020,MS,Mississippi,BRFSS,Overall Health,Fall with injury within last year,Percentage of older adults who have fallen and sustained an injury within last year,,%,PRCTG,Percentage,11.96222222222222,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,,,POINT (-89.53803082 32.7455101),C01,TOC06,Q05,,28,AGE,65PLUS,RACE,HIS,,,
,2015,2015,MS,Mississippi,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,16.6,16.6,,,14.4,19.1,,Age Group,50-64 years,,,,,POINT (-89.53803082 32.7455101),C05,TMC01,Q03,,28,AGE,5064,OVERALL,OVERALL,,,
,2020,2020,MS,Mississippi,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",,%,PRCTG,Percentage,44.9,44.9,,,40.2,49.6,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-89.53803082 32.7455101),C01,TOC10,Q46,,28,AGE,5064,RACE,BLK,,,
,2020,2020,MS,Mississippi,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,19.24777777777777,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-89.53803082 32.7455101),C05,TMC03,Q27,,28,AGE,65PLUS,RACE,NAA,,,
,2019,2019,MS,Mississippi,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",,%,PRCTG,Percentage,67.0,67.0,,,63.8,70.1,,Age Group,50-64 years,,,,,POINT (-89.53803082 32.7455101),C01,TOC08,Q33,,28,AGE,5064,OVERALL,OVERALL,,,
,2018,2018,MS,Mississippi,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,,%,PRCTG,Percentage,62.4,62.4,,,58.3,66.3,,Age Group,Overall,Gender,Male,,,POINT (-89.53803082 32.7455101),C03,TSC04,Q19,,28,AGE,AGE_OVERALL,GENDER,MALE,,,
,2020,2020,MS,Mississippi,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,6.8,6.8,,,5.7,7.9,,Age Group,50-64 years,Gender,Female,,,POINT (-89.53803082 32.7455101),C01,TOC03,Q35,,28,AGE,5064,GENDER,FEMALE,,,
,2015,2020,MS,Mississippi,BRFSS,Caregiving,Duration of caregiving among older adults,Percentage of older adults who provided care to a friend or family member for six months or more,,%,PRCTG,Percentage,74.3,74.3,,,69.9,78.3,,Age Group,Overall,,,,,POINT (-89.53803082 32.7455101),C07,TGC03,Q38,,28,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
,2018,2018,MS,Mississippi,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,65.6,65.6,,,62.9,68.2,,Age Group,Overall,Gender,Female,,,POINT (-89.53803082 32.7455101),C01,TOC09,Q34,,28,AGE,AGE_OVERALL,GENDER,FEMALE,,,
