RowId,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,ClassID,TopicID,QuestionID,ResponseID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,Report
,2019,2019,NY,New York,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,26.7,26.7,,,24.0,29.6,,Age Group,50-64 years,Gender,Male,,,POINT (-75.54397043 42.82700103),C01,TOC11,Q43,,36,AGE,5064,GENDER,MALE,,,
,2020,2020,NY,New York,BRFSS,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,,%,PRCTG,Percentage,78.0,78.0,,,75.9,79.9,,Age Group,Overall,Gender,Female,,,POINT (-75.54397043 42.82700103),C03,TSC02,Q15,,36,AGE,AGE_OVERALL,GENDER,FEMALE,,,
,2020,2020,NY,New York,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,5.9,5.9,,,4.1,8.3,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-75.54397043 42.82700103),C04,TAC03,Q21,,36,AGE,AGE_OVERALL,RACE,BLK,,,
,2020,2020,NY,New York,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",,%,PRCTG,Percentage,45.3,45.3,,,42.3,48.4,,Age Group,65 years or older,Gender,Female,,,POINT (-75.54397043 42.82700103),C01,TOC10,Q46,,36,AGE,65PLUS,GENDER,FEMALE,,,
,2020,2020,NY,New York,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,5.224000000000002,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-75.54397043 42.82700103),C01,TOC01,Q08,,36,AGE,5064,RACE,ASN,,,
,2020,2020,NY,New York,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",,%,PRCTG,Percentage,31.8,31.8,,,29.7,33.9,,Age Group,50-64 years,,,,,POINT (-75.54397043 42.82700103),C02,TNC04,Q13,,36,AGE,5064,OVERALL,OVERALL,,,
,2020,2020,NY,New York,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,,%,PRCTG,Percentage,70.2,70.2,,,68.0,72.4,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,POINT (-75.54397043 42.82700103),C01,TOC05,Q07,,36,AGE,65PLUS,RACE,WHT,,,
,2020,2020,NY,New York,BRFSS,Overall Health,Fall with injury within last year,Percentage of older adults who have fallen and sustained an injury within last year,,%,PRCTG,Percentage,7.7,7.7,,,6.4,9.2,,Age Group,50-64 years,Gender,Female,,,POINT (-75.54397043 42.82700103),C01,TOC06,Q05,,36,AGE,5064,GENDER,FEMALE,,,
,2020,2020,NY,New York,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,,%,PRCTG,Percentage,38.0,38.0,,,35.9,40.1,,Age Group,Overall,,,,,POINT (-75.54397043 42.82700103),C03,TSC11,Q11,,36,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
,2020,2020,NY,New York,BRFSS,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,,%,PRCTG,Percentage,82.5,82.5,,,71.9,89.7,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-75.54397043 42.82700103),C03,TSC02,Q15,,36,AGE,65PLUS,RACE,BLK,,,
